nieuwnr;naam;wijk;Latitude;Longitude
1;Binnenstad;Binnenstad;51,0477602841;3,72765891938
24;West;Mariakerke;51,0741260697;3,76585871261
15;Oost;Moscou - Vogelhoek;51,0256748878;3,75871589607
21;Zuid;Stationsbuurt-Zuid;51,0302467102;3,70661267376
20;Zuid;Nieuw Gent - UZ;51,0207649274;3,72885601604
11;Noordoost;Gentse Kanaaldorpen en -zone;51,1375095040;3,78767060129
9;Noordwest;Bloemekenswijk;51,0705340871;3,70654805393
8;Noordwest;Wondelgem;51,0911594642;3,71395595052
5;Kernstad;Watersportbaan - Ekkergem;51,0467064966;3,69379817796
7;Kernstad;Rabot - Blaisantvest;51,0629169268;3,71143372239
10;Noordwest;Muide - Meulestede - Afrikalaan;51,0733561231;3,73226491946
3;Kernstad;Macharius - Heirnis;51,0497759391;3,73858816853
25;West;Drongen;51,0509162165;3,63204707309
18;Oost;Ledeberg;51,0339507396;3,74341989759
4;Kernstad;Brugse Poort - Rooigem;51,0589664894;3,69173122417
13;Noordoost;Dampoort;51,0523363118;3,74910527264
2;Kernstad;Sluizeken - Tolhuis - Ham;51,0626823361;3,72714903375
6;Kernstad;Elisabethbegijnhof - Prinsenhof - Papegaai - Sint-Michiels;51,0533352996;3,71436504644
22;Zuid;Stationsbuurt-Noord;51,0378348566;3,71249733569
14;Noordoost;Sint-Amandsberg;51,0687685288;3,76947296633
12;Noordoost;Oostakker;51,0908764357;3,77454912715
19;Zuid;Zwijnaarde;51,0039581225;3,70512757507
23;Zuid;Sint-Denijs-Westrem - Afsnee;51,0248610297;3,66834341343
16;Oost;Gentbrugge;51,0388010674;3,77438469583
17;Oost;Oud Gentbrugge;51,0416105711;3,75234014839
